1;1;Salomon E S/MAX W 4;1;22999;2;1;"Горные лыжи Salomon E S/Max W 4 с креплениями M10 GW для катания по подготовленным склонам. Легкая и простая в управлении модель подойдет начинающим лыжницам, стремящимся выполнить свои первые резаные повороты. Удобные крепления за секунды подгоняются под размер любых ботинок, а также обеспечивают быстрое встегивание и выстегивание для лыжниц с самым низким весом. "
2;1;Volkl REVOLT 86;2;22399;3;1;Популярные парковые лыжи от Volkl - удачный выбор для продвинутых горнолыжников.
3;1;Head V-Shape AR PP9 red;3;26999;3;1;"Горные лыжи Head с невысокой продольной жесткостью — отличный выбор для начала обучения. Невысокая жесткость позволит освоить ведение лыж, не усложняя первые шаги новичка скоростью и резкостью поворотов. "
4;1;Volkl Kanjo 84;2;30099;3;1;Универсальная модель горных лыж от Volkl отличается стабильностью на подготовленных склонах и уверенным поведением вне трассы.
5;1;Atomic Vantage 75 R;4;31499;3;1;"Atomic Vantage 75 — одна из самых легких моделей в линейке Vantage, которая поможет новичкам или прогрессирующим лыжникам улучшить свое катание. Стабильность, контроль и легкое управление — вот основные качества этой модели. Лыжи сочетают мощность трассовой модели и маневренность моделей all-mountain и подойдут тем, кто катается преимущественно по подготовленным склонам. "
6;1;Volkl Kendo 88;2;35699;3;1;Универсальная модель горных лыж от Volkl отличается стабильностью на подготовленных склонах и уверенным поведением вне трассы.
7;1;Salomon E S/Force Fever;1;46999;2;1;"Этот комплект — прекрасный выбор для горнолыжниц, которые выбирают уверенное и стабильное круизное катание по любым трассам. "
8;2;Fischer RC One 110 Vacuum;5;12999;3;1;"Горнолыжные ботинки Fischer RC ONE 110 Vacuum с отличным уровнем комфорта и скорости. Легко надеваются и снимаются"
9;2;Fischer RC4 70 JR;5;4999;3;2;"Технологичные ботинки от Fischer станут отличным выбором для юных горнолыжников."
10;2;Salomon S/Max 60T M;1;6999;3;2;"Детские горнолыжные ботинки Salomon с увеличенным шарниром Oversized Pivot и тонким внешним ботинком. Модель разработана для юных райдеров и обеспечивает максимальную передачу усилий и прогрессивную жесткость."
11;2;Salomon QST Access 70 W;1;13999;2;1;"Женские горнолыжные ботинки QST Access 70 W оснащены клипсой с гребенкой для интуитивной регулировки. Модель разработана с учетом особенностей женской ноги, поэтому в ботинках удобно ходить, и вы сможете с комфортом провести весь день на склоне."
12;2;Head Edge LYT 80;3;11999;3;1;"Удобные ботинки Head Edge Lyt с жесткостью до 80 станут отличным выбором для начинающих. Специально разработанная геометрия для достижения сбалансированной позиции над лыжами. За счет использования новейших материалов вес ботинок снижен на 20%."
13;2;Head Nexo LYT 120;3;25999;3;1;"Горнолыжные ботинки нового поколения Nexo Lyt от Head с жесткостью до 120 и шириной колодки 100 мм (26,5) — выбор лыжников экспертного уровня."
